Query,Output
"List work items related to component ABC123, filter for P1 priority, and provide a summary","var_1 = search_object_by_name(query=""Project X"")
var_2 = works_list(ticket.source_channel=[var_1], work_type=[""task""])
var_3 = summarize_objects(objects=var_2)"
How can I increase productivity using the def works_list tool?,"var_1 = works_list(applies_to_part=[""ABC123""], issue_priority=[""p1""], work_type=[""issue""])
var_2 = summarize_objects(objects=var_1)"
"Retrieve issues created by user JSmith, sort by urgency, and append to sprint Sprint42",# Cannot be solved using the given functions
Give me a rundown of tickets needing responses for the RevolutionHealth organization,"var_1 = works_list(created_by=[""JSmith""], work_type=[""issue""])
var_2 = prioritize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""Sprint42"")"
"Identify work items with the tag ""bug-fix"", sort by severity, and give a brief overview","var_1 = search_object_by_name(query=""RevolutionHealth"")
var_2 = works_list(ticket_needs_response=True, ticket_rev_org=[var_1], work_type=[""ticket""])
var_3 = summarize_objects(objects=var_2)"
Who is the owner of the sprint containing my most critical tasks?,"var_1 = works_list(work_type=[""issue""], issue_rev_orgs=[""bug-fix""])
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)"
Generate a list of tasks based on the insights from the latest team meeting notes,# Cannot be solved using the given functions
What are the top five tasks similar to TASK-456 in terms of content and priority?,"var_1 = create_actionable_tasks_from_text(text=""the latest team meeting notes"")"
Can you locate the sprint ID where the majority of my active issues are being addressed?,"var_1 = get_similar_work_items(work_id=""TASK-456"")
var_2 = prioritize_objects(objects=var_1)
var_3 = var_2[:5]"
What are the new tasks I should be aware of that have emerged from the customer feedback on Project X?,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], work_type=[""issue""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()"
